grid_number,endpoints,throughput,folder
302,360,6.031,run_agents200_endpoints360_grid00302
303,369,6.011,run_agents200_endpoints369_grid00303
304,354,4.01,run_agents200_endpoints354_grid00304
305,352,1.846,run_agents200_endpoints352_grid00305
306,353,5.739,run_agents200_endpoints353_grid00306
307,356,5.715,run_agents200_endpoints356_grid00307
308,364,5.469,run_agents200_endpoints364_grid00308
309,362,5.732,run_agents200_endpoints362_grid00309
310,356,5.799,run_agents200_endpoints356_grid00310
311,361,5.708,run_agents200_endpoints361_grid00311
312,357,5.519,run_agents200_endpoints357_grid00312
313,351,1.156,run_agents200_endpoints351_grid00313
314,359,5.901,run_agents200_endpoints359_grid00314
315,361,3.957,run_agents200_endpoints361_grid00315
316,350,5.343,run_agents200_endpoints350_grid00316
317,356,5.886,run_agents200_endpoints356_grid00317
318,365,5.105,run_agents200_endpoints365_grid00318
319,368,3.739,run_agents200_endpoints368_grid00319
320,365,5.594,run_agents200_endpoints365_grid00320
321,366,5.931,run_agents200_endpoints366_grid00321
322,361,5.722,run_agents200_endpoints361_grid00322
323,365,5.689,run_agents200_endpoints365_grid00323
324,356,5.552,run_agents200_endpoints356_grid00324
325,359,5.827,run_agents200_endpoints359_grid00325
326,362,5.636,run_agents200_endpoints362_grid00326
327,364,5.811,run_agents200_endpoints364_grid00327
328,360,5.496,run_agents200_endpoints360_grid00328
329,362,5.639,run_agents200_endpoints362_grid00329
330,354,0.905,run_agents200_endpoints354_grid00330
331,361,5.907,run_agents200_endpoints361_grid00331
332,373,1.286,run_agents200_endpoints373_grid00332
333,357,5.595,run_agents200_endpoints357_grid00333
334,355,0.782,run_agents200_endpoints355_grid00334
335,361,5.843,run_agents200_endpoints361_grid00335
336,354,5.5,run_agents200_endpoints354_grid00336
337,351,5.655,run_agents200_endpoints351_grid00337
338,358,1.517,run_agents200_endpoints358_grid00338
339,377,5.897,run_agents200_endpoints377_grid00339
340,358,3.235,run_agents200_endpoints358_grid00340
341,344,5.677,run_agents200_endpoints344_grid00341
343,363,5.286,run_agents200_endpoints363_grid00343
344,360,0.75,run_agents200_endpoints360_grid00344
345,364,3.879,run_agents200_endpoints364_grid00345
347,363,6.03,run_agents200_endpoints363_grid00347
348,347,5.547,run_agents200_endpoints347_grid00348
349,368,5.873,run_agents200_endpoints368_grid00349
350,359,5.956,run_agents200_endpoints359_grid00350
351,361,5.826,run_agents200_endpoints361_grid00351
352,355,5.615,run_agents200_endpoints355_grid00352
353,367,5.72,run_agents200_endpoints367_grid00353
354,367,5.717,run_agents200_endpoints367_grid00354
355,364,4.278,run_agents200_endpoints364_grid00355
356,353,4.91,run_agents200_endpoints353_grid00356
357,365,5.693,run_agents200_endpoints365_grid00357
358,375,5.983,run_agents200_endpoints375_grid00358
359,368,5.804,run_agents200_endpoints368_grid00359
360,352,5.751,run_agents200_endpoints352_grid00360
361,352,5.88,run_agents200_endpoints352_grid00361
362,348,5.526,run_agents200_endpoints348_grid00362
363,360,5.892,run_agents200_endpoints360_grid00363
364,362,3.964,run_agents200_endpoints362_grid00364
365,346,5.81,run_agents200_endpoints346_grid00365
366,365,2.271,run_agents200_endpoints365_grid00366
368,364,1.264,run_agents200_endpoints364_grid00368
369,367,6.016,run_agents200_endpoints367_grid00369
370,353,5.775,run_agents200_endpoints353_grid00370
371,369,5.762,run_agents200_endpoints369_grid00371
372,357,1.874,run_agents200_endpoints357_grid00372
373,357,5.333,run_agents200_endpoints357_grid00373
374,371,3.766,run_agents200_endpoints371_grid00374
375,368,5.941,run_agents200_endpoints368_grid00375
377,360,2.393,run_agents200_endpoints360_grid00377
379,353,1.965,run_agents200_endpoints353_grid00379
380,367,3.754,run_agents200_endpoints367_grid00380
381,361,5.749,run_agents200_endpoints361_grid00381
382,352,4.494,run_agents200_endpoints352_grid00382
383,351,5.614,run_agents200_endpoints351_grid00383
384,353,2.574,run_agents200_endpoints353_grid00384
385,360,5.856,run_agents200_endpoints360_grid00385
386,358,5.595,run_agents200_endpoints358_grid00386
387,358,5.712,run_agents200_endpoints358_grid00387
388,347,5.846,run_agents200_endpoints347_grid00388
389,356,5.272,run_agents200_endpoints356_grid00389
390,357,5.87,run_agents200_endpoints357_grid00390
391,346,5.852,run_agents200_endpoints346_grid00391
392,377,1.854,run_agents200_endpoints377_grid00392
393,358,3.894,run_agents200_endpoints358_grid00393
